申请号,申请年份,公开公告年份,授权公告年份,申请人,申请人类型,申请人地址,申请人国家,申请人省份,申请人城市,申请人区县,专利名称,专利类型,IPC分类号,IPC主分类号,摘要文本
CN201700000113,2017,2017,2017,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2017年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201700000114,2017,2017,2017,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2017年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201700000115,2017,2017,2017,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2017年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201700000116,2017,2017,2017,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2017年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201700000117,2017,2017,2017,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2017年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201700000118,2017,2017,2017,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2017年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201700000119,2017,2017,2017,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2017年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201700000120,2017,2017,2017,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2017年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201700000121,2017,2017,2017,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2017年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201700000122,2017,2017,2017,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2017年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201700000123,2017,2017,2017,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2017年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201700000124,2017,2017,2017,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2017年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201700000125,2017,2017,2017,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2017年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201700000126,2017,2017,2017,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2017年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201700000127,2017,2017,2017,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2017年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201700000128,2017,2017,2017,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2017年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201700000129,2017,2017,2017,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2017年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201700000130,2017,2017,2017,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2017年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201700000131,2017,2017,2017,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2017年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201700000132,2017,2017,2017,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2017年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201700000133,2017,2017,2017,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2017年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201700000134,2017,2017,2017,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2017年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201700000135,2017,2017,2017,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2017年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201700000136,2017,2017,2017,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2017年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201700000137,2017,2017,2017,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2017年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201700000138,2017,2017,2017,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2017年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201700000139,2017,2017,2017,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2017年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201700000140,2017,2017,2017,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2017年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201700000141,2017,2017,2017,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2017年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201700000142,2017,2017,2017,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2017年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201700000143,2017,2017,2017,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2017年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201700000144,2017,2017,2017,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2017年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201700000145,2017,2017,2017,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2017年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201700000146,2017,2017,2017,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2017年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201700000147,2017,2017,2017,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2017年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201700000148,2017,2017,2017,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2017年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201700000149,2017,2017,2017,Shaoxing智造科技有限公司,2,ZhejiangShaoxing高新区,CN,Zhejiang,Shaoxing,,2017年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201700000150,2017,2017,2017,Yantai智造科技有限公司,2,ShandongYantai高新区,CN,Shandong,Yantai,,2017年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201700000151,2017,2017,2017,Weifang智造科技有限公司,2,ShandongWeifang高新区,CN,Shandong,Weifang,,2017年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201700000152,2017,2017,2017,Zibo智造科技有限公司,2,ShandongZibo高新区,CN,Shandong,Zibo,,2017年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201700000153,2017,2017,2017,Luoyang智造科技有限公司,2,HenanLuoyang高新区,CN,Henan,Luoyang,,2017年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201700000154,2017,2017,2017,Xuzhou智造科技有限公司,2,JiangsuXuzhou高新区,CN,Jiangsu,Xuzhou,,2017年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201700000155,2017,2017,2017,Nantong智造科技有限公司,2,JiangsuNantong高新区,CN,Jiangsu,Nantong,,2017年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201700000156,2017,2017,2017,Yangzhou智造科技有限公司,2,JiangsuYangzhou高新区,CN,Jiangsu,Yangzhou,,2017年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201700000157,2017,2017,2017,Zhenjiang智造科技有限公司,2,JiangsuZhenjiang高新区,CN,Jiangsu,Zhenjiang,,2017年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201700000158,2017,2017,2017,Huzhou智造科技有限公司,2,ZhejiangHuzhou高新区,CN,Zhejiang,Huzhou,,2017年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201700000159,2017,2017,2017,Jinhua智造科技有限公司,2,ZhejiangJinhua高新区,CN,Zhejiang,Jinhua,,2017年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201700000160,2017,2017,2017,Taizhou智造科技有限公司,2,ZhejiangTaizhou高新区,CN,Zhejiang,Taizhou,,2017年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201700000161,2017,2017,2017,Quanzhou智造科技有限公司,2,FujianQuanzhou高新区,CN,Fujian,Quanzhou,,2017年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201700000162,2017,2017,2017,Zhongshan智造科技有限公司,2,GuangdongZhongshan高新区,CN,Guangdong,Zhongshan,,2017年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201700000163,2017,2017,2017,Huizhou智造科技有限公司,2,GuangdongHuizhou高新区,CN,Guangdong,Huizhou,,2017年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201700000164,2017,2017,2017,Jiangmen智造科技有限公司,2,GuangdongJiangmen高新区,CN,Guangdong,Jiangmen,,2017年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201700000165,2017,2017,2017,Zhaoqing智造科技有限公司,2,GuangdongZhaoqing高新区,CN,Guangdong,Zhaoqing,,2017年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201700000166,2017,2017,2017,Maanshan智造科技有限公司,2,AnhuiMaanshan高新区,CN,Anhui,Maanshan,,2017年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201700000167,2017,2017,2017,Wuhu智造科技有限公司,2,AnhuiWuhu高新区,CN,Anhui,Wuhu,,2017年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201700000168,2017,2017,2017,Bengbu智造科技有限公司,2,AnhuiBengbu高新区,CN,Anhui,Bengbu,,2017年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201800000169,2018,2018,2018,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2018年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201800000170,2018,2018,2018,Shanghai智造科技有限公司,2,ShanghaiShanghai高新区,CN,Shanghai,Shanghai,,2018年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201800000171,2018,2018,2018,Shenzhen智造科技有限公司,2,GuangdongShenzhen高新区,CN,Guangdong,Shenzhen,,2018年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201800000172,2018,2018,2018,Hangzhou智造科技有限公司,2,ZhejiangHangzhou高新区,CN,Zhejiang,Hangzhou,,2018年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201800000173,2018,2018,2018,Suzhou智造科技有限公司,2,JiangsuSuzhou高新区,CN,Jiangsu,Suzhou,,2018年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201800000174,2018,2018,2018,Nanjing智造科技有限公司,2,JiangsuNanjing高新区,CN,Jiangsu,Nanjing,,2018年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201800000175,2018,2018,2018,Wuhan智造科技有限公司,2,HubeiWuhan高新区,CN,Hubei,Wuhan,,2018年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201800000176,2018,2018,2018,Chengdu智造科技有限公司,2,SichuanChengdu高新区,CN,Sichuan,Chengdu,,2018年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201800000177,2018,2018,2018,Chongqing智造科技有限公司,2,ChongqingChongqing高新区,CN,Chongqing,Chongqing,,2018年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201800000178,2018,2018,2018,Xi'an智造科技有限公司,2,ShaanxiXi'an高新区,CN,Shaanxi,Xi'an,,2018年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201800000179,2018,2018,2018,Hefei智造科技有限公司,2,AnhuiHefei高新区,CN,Anhui,Hefei,,2018年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201800000180,2018,2018,2018,Jinan智造科技有限公司,2,ShandongJinan高新区,CN,Shandong,Jinan,,2018年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201800000181,2018,2018,2018,Qingdao智造科技有限公司,2,ShandongQingdao高新区,CN,Shandong,Qingdao,,2018年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201800000182,2018,2018,2018,Ningbo智造科技有限公司,2,ZhejiangNingbo高新区,CN,Zhejiang,Ningbo,,2018年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201800000183,2018,2018,2018,Wuxi智造科技有限公司,2,JiangsuWuxi高新区,CN,Jiangsu,Wuxi,,2018年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201800000184,2018,2018,2018,Changsha智造科技有限公司,2,HunanChangsha高新区,CN,Hunan,Changsha,,2018年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201800000185,2018,2018,2018,Zhengzhou智造科技有限公司,2,HenanZhengzhou高新区,CN,Henan,Zhengzhou,,2018年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201800000186,2018,2018,2018,Fuzhou智造科技有限公司,2,FujianFuzhou高新区,CN,Fujian,Fuzhou,,2018年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201800000187,2018,2018,2018,Xiamen智造科技有限公司,2,FujianXiamen高新区,CN,Fujian,Xiamen,,2018年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201800000188,2018,2018,2018,Kunming智造科技有限公司,2,YunnanKunming高新区,CN,Yunnan,Kunming,,2018年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201800000189,2018,2018,2018,Guiyang智造科技有限公司,2,GuizhouGuiyang高新区,CN,Guizhou,Guiyang,,2018年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201800000190,2018,2018,2018,Nanchang智造科技有限公司,2,JiangxiNanchang高新区,CN,Jiangxi,Nanchang,,2018年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201800000191,2018,2018,2018,Shijiazhuang智造科技有限公司,2,HebeiShijiazhuang高新区,CN,Hebei,Shijiazhuang,,2018年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201800000192,2018,2018,2018,Taiyuan智造科技有限公司,2,ShanxiTaiyuan高新区,CN,Shanxi,Taiyuan,,2018年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201800000193,2018,2018,2018,Hohhot智造科技有限公司,2,Inner MongoliaHohhot高新区,CN,Inner Mongolia,Hohhot,,2018年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201800000194,2018,2018,2018,Harbin智造科技有限公司,2,HeilongjiangHarbin高新区,CN,Heilongjiang,Harbin,,2018年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201800000195,2018,2018,2018,Changchun智造科技有限公司,2,JilinChangchun高新区,CN,Jilin,Changchun,,2018年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201800000196,2018,2018,2018,Dalian智造科技有限公司,2,LiaoningDalian高新区,CN,Liaoning,Dalian,,2018年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201800000197,2018,2018,2018,Shenyang智造科技有限公司,2,LiaoningShenyang高新区,CN,Liaoning,Shenyang,,2018年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201800000198,2018,2018,2018,Tianjin智造科技有限公司,2,TianjinTianjin高新区,CN,Tianjin,Tianjin,,2018年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201800000199,2018,2018,2018,Guangzhou智造科技有限公司,2,GuangdongGuangzhou高新区,CN,Guangdong,Guangzhou,,2018年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201800000200,2018,2018,2018,Dongguan智造科技有限公司,2,GuangdongDongguan高新区,CN,Guangdong,Dongguan,,2018年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201800000201,2018,2018,2018,Foshan智造科技有限公司,2,GuangdongFoshan高新区,CN,Guangdong,Foshan,,2018年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201800000202,2018,2018,2018,Zhuhai智造科技有限公司,2,GuangdongZhuhai高新区,CN,Guangdong,Zhuhai,,2018年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201800000203,2018,2018,2018,Wenzhou智造科技有限公司,2,ZhejiangWenzhou高新区,CN,Zhejiang,Wenzhou,,2018年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
CN201800000204,2018,2018,2018,Jiaxing智造科技有限公司,2,ZhejiangJiaxing高新区,CN,Zhejiang,Jiaxing,,2018年化工过程参数闭环控制,发明,G05D1/02,G05D1/02,本发明涉及化工过程参数闭环控制，用于智能制造场景。
CN201800000205,2018,2018,2018,Shaoxing智造科技有限公司,2,ZhejiangShaoxing高新区,CN,Zhejiang,Shaoxing,,2018年智能仓储路径优化系统,发明,G06Q10/08,G06Q10/08,本发明涉及智能仓储路径优化系统，用于智能制造场景。
CN201800000206,2018,2018,2018,Yantai智造科技有限公司,2,ShandongYantai高新区,CN,Shandong,Yantai,,2018年工业互联网MES平台,发明,G06F8/30,G06F8/30,本发明涉及工业互联网MES平台，用于智能制造场景。
CN201800000207,2018,2018,2018,Weifang智造科技有限公司,2,ShandongWeifang高新区,CN,Shandong,Weifang,,2018年半导体晶圆量测方法,发明,H01L21/672,H01L21/672,本发明涉及半导体晶圆量测方法，用于智能制造场景。
CN201800000208,2018,2018,2018,Zibo智造科技有限公司,2,ShandongZibo高新区,CN,Shandong,Zibo,,2018年锂电池极片缺陷检测,发明,H01M10/058,H01M10/058,本发明涉及锂电池极片缺陷检测，用于智能制造场景。
CN201800000209,2018,2018,2018,Luoyang智造科技有限公司,2,HenanLuoyang高新区,CN,Henan,Luoyang,,2018年反应釜工艺参数优化,发明,C07C1/00,C07C1/00,本发明涉及反应釜工艺参数优化，用于智能制造场景。
CN201800000210,2018,2018,2018,Xuzhou智造科技有限公司,2,JiangsuXuzhou高新区,CN,Jiangsu,Xuzhou,,2018年汽车整车机器视觉检测平台,发明,B60W30/00,B60W30/00,本发明涉及汽车整车机器视觉检测平台，用于智能制造场景。
CN201800000211,2018,2018,2018,Nantong智造科技有限公司,2,JiangsuNantong高新区,CN,Jiangsu,Nantong,,2018年船舶数字孪生智能制造系统,发明,B63B65/00,B63B65/00,本发明涉及船舶数字孪生智能制造系统，用于智能制造场景。
CN201800000212,2018,2018,2018,Yangzhou智造科技有限公司,2,JiangsuYangzhou高新区,CN,Jiangsu,Yangzhou,,2018年制药智能质检包装线,发明,A61J1/00,A61J1/00,本发明涉及制药智能质检包装线，用于智能制造场景。
CN201800000213,2018,2018,2018,Zhenjiang智造科技有限公司,2,JiangsuZhenjiang高新区,CN,Jiangsu,Zhenjiang,,2018年钢铁冶炼过程控制优化,发明,C21B7/00,C21B7/00,本发明涉及钢铁冶炼过程控制优化，用于智能制造场景。
CN201800000214,2018,2018,2018,Huzhou智造科技有限公司,2,ZhejiangHuzhou高新区,CN,Zhejiang,Huzhou,,2018年纺织智能排产调度系统,发明,D03D47/00,D03D47/00,本发明涉及纺织智能排产调度系统，用于智能制造场景。
CN201800000215,2018,2018,2018,Jinhua智造科技有限公司,2,ZhejiangJinhua高新区,CN,Zhejiang,Jinhua,,2018年食品灌装机器视觉检测,发明,A23L5/00,A23L5/00,本发明涉及食品灌装机器视觉检测，用于智能制造场景。
CN201800000216,2018,2018,2018,Taizhou智造科技有限公司,2,ZhejiangTaizhou高新区,CN,Zhejiang,Taizhou,,2018年光伏组件机器视觉检测,发明,H02S50/00,H02S50/00,本发明涉及光伏组件机器视觉检测，用于智能制造场景。
CN201800000217,2018,2018,2018,Quanzhou智造科技有限公司,2,FujianQuanzhou高新区,CN,Fujian,Quanzhou,,2018年包装机械工业机器人控制,发明,B65B57/20,B65B57/20,本发明涉及包装机械工业机器人控制，用于智能制造场景。
CN201800000218,2018,2018,2018,Zhongshan智造科技有限公司,2,GuangdongZhongshan高新区,CN,Guangdong,Zhongshan,,2018年电机预测性维护平台,发明,H02K11/00,H02K11/00,本发明涉及电机预测性维护平台，用于智能制造场景。
CN201800000219,2018,2018,2018,Huizhou智造科技有限公司,2,GuangdongHuizhou高新区,CN,Guangdong,Huizhou,,2018年工程机械智能排产系统,发明,F15B11/00,F15B11/00,本发明涉及工程机械智能排产系统，用于智能制造场景。
CN201800000220,2018,2018,2018,Jiangmen智造科技有限公司,2,GuangdongJiangmen高新区,CN,Guangdong,Jiangmen,,2018年机器视觉缺陷检测系统,发明,H01L21/66,H01L21/66,本发明涉及机器视觉缺陷检测系统，用于智能制造场景。
CN201800000221,2018,2018,2018,Zhaoqing智造科技有限公司,2,GuangdongZhaoqing高新区,CN,Guangdong,Zhaoqing,,2018年工业机器人焊接产线控制,发明,B25J9/16,B25J9/16,本发明涉及工业机器人焊接产线控制，用于智能制造场景。
CN201800000222,2018,2018,2018,Maanshan智造科技有限公司,2,AnhuiMaanshan高新区,CN,Anhui,Maanshan,,2018年预测性维护设备健康管理平台,发明,G05B19/418,G05B19/418,本发明涉及预测性维护设备健康管理平台，用于智能制造场景。
CN201800000223,2018,2018,2018,Wuhu智造科技有限公司,2,AnhuiWuhu高新区,CN,Anhui,Wuhu,,2018年数字孪生生产线仿真优化,发明,G06F30/20,G06F30/20,本发明涉及数字孪生生产线仿真优化，用于智能制造场景。
CN201800000224,2018,2018,2018,Bengbu智造科技有限公司,2,AnhuiBengbu高新区,CN,Anhui,Bengbu,,2018年智能质检良率分析系统,发明,G01N21/88,G01N21/88,本发明涉及智能质检良率分析系统，用于智能制造场景。
CN201900000225,2019,2019,2019,Beijing智造科技有限公司,2,BeijingBeijing高新区,CN,Beijing,Beijing,,2019年智能排产调度优化方法,发明,G06Q10/06,G06Q10/06,本发明涉及智能排产调度优化方法，用于智能制造场景。
